Name,Street Number and Name,Street Type ,Suffix, Region,Province,Latitude,Longitude,Datum,Type,Information Hubs,SNA,Phone ,Email ,Services ,Address,Website
Ontario Shores Centre for Mental Health Sciences,700 Gordon,Street,,Whitby,Ontario,43.84795384,-78.9452645,WGS84,Mainstream,No,No,905-430-4055,CentralizedReferral@ontarioshores.ca,"In-patient Services, Senior and Adolescent Services, Eating Disorders, Recreation Therapy, Concurrent Disorders, Outpatient Services,Housing Support, and Dual Diagnosis Services",700 Gordon Street Whitby Ontario L1N 5S9,https://www.ontarioshores.ca/
Alzheimer Society Durham Region,"1600 Champlain Ave #202,",Avenue,,Whitby,Ontario,43.87324104,-78.90476305,WGS84,Mainstream,No,No,1-888-301-1106,information@alzheimerdurham.com,"Safety Services, Individual and Group Support, Memory Clinic, Dementia Education, Dementia Resources, and Dementia Clinic","1600 Champlain Ave #202, Whitby, ON L1N 9B2",
John Howard Society of Durham Region,,Street,West,Oshawa,Ontario,43.89906666,-78.8670621,WGS84,Mainstream,No,No, 905-579-8482,jhsdurham@jhsd.ca,"Housing Services, Employment and Training Services, and Youth and Adult Individual Counselling and Parent Services","75 Richmond Street West, L1G 1E3",
Catholic Family Services of Durham,250 Bayly,Street,West,Ajax,Ontario,43.84300084,-79.02813116,WGS84,Mainstream,No,No,(905) 428-1984,,"Counselling Program, Group Wellness Program, Woman Abuse & Child Witness Program, Kids & Teens Programs",,
Carea Community Health Centre (Ajax),360 Bayly,Street,West,Ajax,Ontario,43.84175227,-79.03214999,WGS84,Mainstream,No,No,(905) 428-1212,info@careachc.ca ,"Health Promotion Programs, Indigenous Programs, Early Years Programs, Young Parent Support, Child/Youth Mental Health Programs, Community Engagement Programs, and Virtual Services"," 360 Bayly St W Unit 5, Ajax, ON L1S 1P1",careachc.ca
John Howard Society of Toronto,,Avenue,West,Toronto,Ontario,43.69635672,-79.44582109,WGS84,Mainstream,No,No,416-925-4386, contact@johnhowardtor.on.ca,"Housing Services, Employment and Training Services, and Youth and Adult Individual Counselling and Parent Services","1669 Eglinton Ave West, Toronto Ontario M6E 2H4",
Montessori by BrightPath Kanata,,,,Ottawa,Ontario,,,,Mainstream,,No,,,,,
Montessori by BrightPath Manotick,,,,Ottawa,Ontario,,,,Mainstream,,No,,,,,
Montessori by BrightPath Strandherd,,,,Ottawa,Ontario,,,,Mainstream,,No,,,,,
Montessori by BrightPath Barrhaven,,,,Ottawa,Ontario,,,,Mainstream,,No,,,,,
Montessori by BrightPath Fallowfield,,,,Ottawa,Ontario,,,,Mainstream,,No,,,,,
Montessori by BrightPath Centrepointe,,,,Ottawa,Ontario,,,,Mainstream,,Yes,,,,,
Rockyview General Hospital,,,,Ottawa,Ontario,,,,Mainstream,,Yes,(613) 798-5555,,,"1053 Carling Ave Ottawa, ON K1Y 4E9",https://www.ottawahospital.on.ca/
St.Mary Secondary School,5536 Bank,Street,,Ottawa,Ontario,,,,Mainstream,,Yes,,,,"5536 Bank St, Gloucester, ON K1X 1G9",
Canadian Federation of University Women,,,,Ottawa,Ontario,,,,Mainstream,,Yes,,,,,
St. Bernadette Catholic Elementary School,3781 Sixth,Street,,Ottawa,Ontario,,,,Mainstream,,Yes,,,,"3781 Sixth St, Gloucester, ON K1T 1K5",
Y Licensed Childcare,,,,Ottawa,Ontario,,,,,,No,,,,180 Argyle Ave 2nd Floor,
Y Licensed Childcare,,,,Ottawa,Ontario,,,,,,No,,,,"2080 Portobello Blvd., Orléans, ON K4A 0K5",
YMCA Child Care Centre,,,,Ottawa,Ontario,,,,,,No,,,,180 Argyle Ave,
Lester B Pearson Elementary School,2072 Jasmine,,,Ottawa,Ontario,,,,Mainstream,,Yes,,,,"2072 Jasmine Crescent, Gloucester, ON K1J 8M5",
Christian Horizons,,,,Ottawa,Ontario,,,,Mainstream,,Yes,,,," 12 Letourneau St, Nepean, ON K2J 5A8",
Christian Horizons,,,,Ottawa,Ontario,,,,Mainstream,,No,,,," 26 Biscayne Crescent, Nepean, ON K2E 6Y9",
Christian Horizons,,,,Ottawa,Ontario,,,,Mainstream,,No,,,,"41 SACHS PL FOREST, Nepean, ON K2G 6V2",
Christian Horizons,,,,Ottawa,Ontario,,,,Mainstream,,No,,,,"1677 Century Rd E, Kars, ON K0A 2E0",
Christian Horizons,,,,Ottawa,Ontario,,,,Mainstream,,No,,,,"1769 Fisher Ave, Ottawa, ON K2C 1Y1",
Christian Horizons,,,,Ottawa,Ontario,,,,Mainstream,,No,,,,"343 Parkin Cir, Gloucester, ON K1T 0C9",
Christian Horizons,,,,Ottawa,Ontario,,,,Mainstream,,No,,,,"26 Folison St, Ottawa, ON K1T 3Y3",
Christian Horizons,,,,Ottawa,Ontario,,,,Mainstream,,No,,,,"497 River Rd, Gloucester, ON K1V 1H4",
Christian Horizons,,,,Ottawa,Ontario,,,,Mainstream,,No,,,,"6570 Bank St, Metcalfe, ON K0A 2P0",
Christian Horizons,,,,Ottawa,Ontario,,,,Mainstream,,No,,,,"1950 Merivale Rd #3, Nepean, ON K2G 5T5",
Easter Seals Ontario,,,,Ottawa,Ontario,,,,Mainstream,,Yes,,,,"1101 Prince of Wales Dr #350, Ottawa, ON K2C 3W7",
SOSChildren'sVillagesInternational,,,,Ottawa,Ontario,,,,Mainstream,,Yes,,,,"44 Byward Market Square Suite 240, Ottawa, ON K1N 7A2",
World Vision Canada,,,,Ottawa,Ontario,,,,Mainstream,,Yes,,,,"75 Albert St, Ottawa, ON K1P 5E",
Saint Francis Xavier Catholic Secondary School,,,,Ottawa,Ontario,,,,Mainstream,,Yes,,,,,
The Salvation Army Public Relations & Development,,Avenue,,Ottawa,Ontario,"45.368242, -75.772556",,,Mainstream,,No,(613) 233-8428,pat_millar@can.salvationarmy.org,"Emergency and disaster services, family services, poverty services, and homelessness services",820 Woodroffe Ave,http://salvationarmyottawa.ca/
Our Lady of Mount Carmel Catholic School,,,,,,,,,,,,,,,,
Habitat for Humanity Greater Ottawa ReStore,,,,Ottawa,Ontario,,,,Mainstream,,Yes,,,,,
Colonel By Child Care Centre,,,,,,,,,,,,,,,,
Syrian Association of Ottawa,,,,,,,,,,,,,,,,
Hawthorn School,,,,Ottawa,Ontario,,,,Mainstream,,Yes,(613) 733-6221,,," 2158 St Laurent Blvd, Ottawa, ON K1G 1A9",https://hawthorneps.ocdsb.ca/
